City,Legislation or Bill(s),Collection of Video,Retention of Video,FOIA Exemptions,Related Dashcam FOIA Exemptions
"New York, NY",None,None,N/A,None,None
"Los Angeles, CA",None,"LAPD's own policy provides:
Officers must turn body cams on when they engage in ""investigative or enforcement"" activities. In confrontational situations, the camera must be turned on. Officers are encouraged but not required to alert people that they are being recorded",None,None.,Dashcam videos are treated as confidential
"Chicago, IL",None,"Chicago PD is conducting a pilor pilot program, during which offiers have been instructed to record every interaction with citizens, with some exceptions for victims of sexual assaults and hospital patients","Recordings will be kept for 90 days, unless needed for evidence",None,None
"Dallas, TX","One proposal, SB 158, would allow police departments to apply for grants to implement body camera programs",Body cameras should be activated only for law enforcement purposes. Officers may choose not to activate a camera or to turn a camera off during any nonconfrontational encounter.,Recordings will be kept for at least 90 days,"Recordings concerning incidents under investigation are exempted from public records law, but may be released to the public if it would further a law enforcement purpose. Recordings are exempt if they do not relate to a law enforcement purpose or if they were not required to be made until this law. Recordings made in private spaces or during pedestrian or traffic stops may not be made public without written authorization from the subject of the recording or the subject's authorized representative. Before releasing any information to the public, the agency will redact confidential information.","Broadly speaking, dashcam videos are exempted from public records law if their release would interfere with detection, investigation or prosecution of a crime"
"Houston, TX",None,"Houston PD has voluntarily adopted body cams, but they refuse to make their policy public","Houston PD has voluntarily adopted body cameras, but they refuse to make their policy public","The Texas Public Information Act broadly exempts from disclosure any information held by a law enforcement agency that deals with the detection, investigation or prosecution of a crime if disclosure would interfere with those functions.","The Texas Public Information Act broadly exempts from disclosure any information held by a law enforcement agency that deals with the detection, investigation or prosecution of a crime if disclosure would interfere with those functions"
"Philadelphia, PA",A six-month pilot program ended May 2015 and there is currently a proposed budget line to provide 450 cameras in FY2016.,The city's Police Chief has acknowledged the need to develop policy but has not put forward a draft plan for consideration,None,Pennsylvania currently exempts dash and body camera footage under existing FOIA Exemptions. The General Assembly's Senate Judiciary Committee recently held hearings on amending Right-to-Know Statute and implementing non-discretionary recording practices.,Pennsylvania currently exempts dash and body camera footage under existing FOIA Exemptions. The General Assembly's Senate Judiciary Committee recently held hearings on amending Right-to-Know Statute and implementing non-discretionary recording practices.
"Miami, FL","The Miami-Dade County Commission (""MDCC"") approved the purchase of 500 body cameras on June 2, 2015 for FY2016. (Related areas: City of Miami, Miami Beach, and Miami Customs all implementing body camera use.) ","Per the Miami-Herald, MDCC draft policy requires recording for all ""traffic stops, citizen contacts tied to law enforcement, prison transports, and statements made by suspects, victims, and witnesses."" However, a recent article cites Miami-Dade Police draft policy as allowing officers to turn of cameras at request of victim",The Miami-Herald cites the same draft policy as permitting police to delete footage not marked as evidence after sixty days,None at the local level. Significant exemptions and legislative developments at the state level,None at the local level. Significant exemptions and legislative developments at the state level
"Atlanta, GA","Atlanta's proposed budget for FY2016 (to be approved by July 1, 2015) says ""[t]he APD will deploy body cameras to our work force,"" which confirms an earlier statement made by Mayor Reed. No indication of the amount of funding or cameras that are to be provided or a timeline for implementation is given",None,None,None at the local level. Significant exemptions at the state level,None at the local level. Significant exemptions at the state level
"Boston, MA","The Mayor of Boston, The Boston Police Chief, and the Governor or Massachusetts are all strongly opposed to the implementation of body worn cameras",None,None,None,"State exemption for certain investigatory materials with prejudicial qualities. Departmental exemption for (among other things) statements of the accused, identity and statements of witnesses (except in court), images of police personnel, and details of rape or sexual assaults"
"San Francisco, CA","The City began equipping officers with body cameras as early as 2013, received a $250,000 federal grant in early 2014 for additional cameras, and the mayor has a proposed budget item of $6.6 million to equip every officer with a camera by the end of 2015. (Related areas: Oakland, Union City, Campbell, and BART all use body cameras.)","President of the SF Police Commission has said cameras will not go into operation until the commission puts stringent policies in place, which Chief Greg Suhr recently cautioned “still need[] to be developed,  includ[ing] when they go on and don’t go on, redaction and retention requirements and who gets to view the video and when”","President of the SF Police Commission has said cameras will not go into operation until the commission puts stringent policies in place, which Chief Greg Suhr recently cautioned “still needs to be developed,  includ[ing] when they go on and don’t go on, redaction and retention requirements and who gets to view the video and when”","President of the SF Police Commission has said cameras will not go into operation until the commission puts stringent policies in place, which Chief Greg Suhr recently cautioned “still needs to be developed,  includ[ing] when they go on and don’t go on, redaction and retention requirements and who gets to view the video and when”",None at the local level.
