FIPS,State,Legislation or Bill(s),Collection of Video,Retention of Video,FOIA Exemptions,Related Dashcam FOIA Exemptions
US01,Alabama,No statute or proposal relevant to body cameras at the state level,None,None,None,Covered by general FOIA exemptions
US02,Alaska,No statute or proposal relevant to body cameras at the state level,None,None,None,None
US04,Arizona,SB 1300 - Created a commission to study the issue ,None,None,None,Covered by general FOIA exemptions
US05,Arkansas,No statute or proposal relevant to body cameras at the state level,None,None,None,Covered by general FOIA exemptions
US06,California,"Three proposed bills in state legislature (AB 66, SB 175, and AB 1246)","Proposals prohibit recording when there is a reasonable expectation of privacy, require officers to provide notice to the public that they are being recorded.  Officers may review their camera footage before making an initial statement and report except in incidents involving ""a serious use of force""",Proposals direct individual departments to develop a policy for retention of the footage,Proposals would limit disclosure only to a person whose image is recorded by the body camera,Most requests are denied (anecdotally)
US08,Colorado,HB 1285 - Created a commission tasked with studying and recommending policies on the use of body cameras,None,None,None,None
US09,Connecticut,"Two bills proposed in state legislature (SB 1109 and SB 770): one  would mandate use of body cameras statewide, and the other would create a pilot program to study the issue (SB 1109 and SB 770)",Proposals would leave individual departments in charge of collection policies,Proposals would leave individual departments in charge of retention policies,"Proposals include specific exemptions to protect sensitive situations (i.e. witness identity, informants) from disclosure",Covered by general FOIA exemptions
US10,Delaware,No statute or proposal relevant to body cameras at the state level,None,None,None,Covered by general FOIA exemptions
US12,Florida,"SB 248 - exempts body camera footage from open records laws.; Proposals-but no passed laws-to mandate and regulate statewide body camera usage",None,Agencies are required to keep videos for 90 days unless the audio/video is part of an active criminal investigation,Specific exemptions for videos taken in private/sensitive places,Covered by general FOIA exemptions
US13,Georgia,"SB 94 - Allows, but does not require, the use of body cameras by exempting police videos from wiretapping and privacy laws. ",None,None,SB 94 specifically exempts police audio and video recordings made in places with a reasonable expectation of privacy. Material related to pending police investigations is also exempt,Material related to pending police investigations is exempt
US15,Hawaii,One bill proposed in state legislature (SB 199)  to encourage use of body cameras by providing matching state funding to counties that implement a program,None,None,"Specific exemptions for ""significant privact interests,"" otherwise covered by general exemptions","Specific exemptions for ""significant privacy interests,"" otherwise covered by general exemptions"
US16,Idaho,No statute or proposal relevant to body cameras at the state level,None,None,Covered by General FOIA Exemptions,Covered by General FOIA Exemptions
